comuna,lat,lon
Buin,-33.733333,-70.75
Calera de Tango,-33.65,-70.8166667
Cerrillos,-33.5025,-70.7108
Cerro Navia,-33.4198,-70.7344
Colina,-33.201637,-70.670242
Conchalí,-33.3778,-70.6756
Curacaví,-33.4,-71.15
El Bosque,-33.3346,-70.4032
El Monte,-33.6752,-70.985
Estación Central,-33.45,-70.66667
Huechuraba,-33.3641,-70.6333
Independencia,-33.4125,-70.6661
Isla de Maipo,-33.7378,-70.898
La Cisterna,-33.5269,-70.6632
# La Florida,-33.5215,-70.5387
La Florida,-33.55,-70.566667
La Granja,-33.5323,-70.6278
La Pintana,-33.5799,-70.6332
La Reina,-33.4493,-70.5500
Lampa,-33.2751,-70.879
Las Condes,-33.3945,-70.503
Lo Barnechea,-33.3493,-70.5167
Lo Espejo,-33.5206,-70.6872
Lo Prado,-33.4481,-70.7199
Macul,-33.4851,-70.6037
Maipú,-33.5157,-70.7666
Maria Pinto,-33.5333333,-71.133333
Melipilla,-33.7,-71.216667
Ñuñoa,-33.4528,-70.6039
Padre Hurtado,-33.5742,-70.8159
Paine,-33.816667,-70.75
Peñaflor,-33.6009,-70.8865
Peñalolén,-33.4783,-70.5382
Pedro Aguirre Cerda,-33.666667,-70.633333
Pirque,-33.633333,-70.55
Providencia,-33.4331,-70.6161
Pudahuel,-33.441667,-70.76667
Puente Alto,-33.6147,-70.5699
Quilicura,-33.366667,-70.75
Quinta Normal,-33.4251,-70.6990
Recoleta,-33.3940,-70.6426
Renca,-33.3973,-70.7348
San Bernardo,-33.5808,-70.6869
San Joaquín,-33.4992,-70.6169
San José de Maipo,-33.612,-70.145
San Miguel,-33.5,-70.666667
San Ramón,-33.5394,-70.6432
# Santiago,-33.374,-70.562
Santiago,-33.45,-70.666667
Talagante,-33.666667,-70.933333
Tiltil,-33.072,-70.930
Vitacura,-33.3833,-70.575
